To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage
i_clk,Input,PIN_R20,5B,B5B_N0,PIN_R20,3.3-V LVTTL,,,,,,,,,,,,
i_crawl_button_L,Input,PIN_P12,3B,B3B_N0,PIN_P12,1.2 V,,,,,,,,,,,,
i_jump_button_L,Input,PIN_P11,3B,B3B_N0,PIN_P11,1.2 V,,,,,,,,,,,,
i_reset,Input,PIN_AC9,3B,B3B_N0,PIN_AC9,1.2 V,,,,,,,,,,,,
i_start,Input,PIN_AE10,4A,B4A_N0,PIN_AE10,1.2 V,,,,,,,,,,,,
o_7seg1[6],Output,PIN_V19,4A,B4A_N0,PIN_V19,1.2 V,,,,,,,,,,,,
o_7seg1[5],Output,PIN_V18,4A,B4A_N0,PIN_V18,1.2 V,,,,,,,,,,,,
o_7seg1[4],Output,PIN_V17,4A,B4A_N0,PIN_V17,1.2 V,,,,,,,,,,,,
o_7seg1[3],Output,PIN_W18,4A,B4A_N0,PIN_W18,1.2 V,,,,,,,,,,,,
o_7seg1[2],Output,PIN_Y20,4A,B4A_N0,PIN_Y20,1.2 V,,,,,,,,,,,,
o_7seg1[1],Output,PIN_Y19,4A,B4A_N0,PIN_Y19,1.2 V,,,,,,,,,,,,
o_7seg1[0],Output,PIN_Y18,4A,B4A_N0,PIN_Y18,1.2 V,,,,,,,,,,,,
o_7seg2[6],Output,PIN_AA18,4A,B4A_N0,PIN_AA18,1.2 V,,,,,,,,,,,,
o_7seg2[5],Output,PIN_AD26,4A,B4A_N0,PIN_AD26,1.2 V,,,,,,,,,,,,
o_7seg2[4],Output,PIN_AB19,4A,B4A_N0,PIN_AB19,1.2 V,,,,,,,,,,,,
o_7seg2[3],Output,PIN_AE26,4A,B4A_N0,PIN_AE26,1.2 V,,,,,,,,,,,,
o_7seg2[2],Output,PIN_AE25,4A,B4A_N0,PIN_AE25,1.2 V,,,,,,,,,,,,
o_7seg2[1],Output,PIN_AC19,4A,B4A_N0,PIN_AC19,1.2 V,,,,,,,,,,,,
o_7seg2[0],Output,PIN_AF24,4A,B4A_N0,PIN_AF24,1.2 V,,,,,,,,,,,,
o_7seg3[6],Output,PIN_AD7,3A,B3A_N0,PIN_AD7,3.3-V LVTTL,,,,,,,,,,,,
o_7seg3[5],Output,PIN_AD6,3A,B3A_N0,PIN_AD6,3.3-V LVTTL,,,,,,,,,,,,
o_7seg3[4],Output,PIN_U20,5A,B5A_N0,PIN_U20,3.3-V LVTTL,,,,,,,,,,,,
o_7seg3[3],Output,PIN_V22,5A,B5A_N0,PIN_V22,3.3-V LVTTL,,,,,,,,,,,,
o_7seg3[2],Output,PIN_V20,5A,B5A_N0,PIN_V20,3.3-V LVTTL,,,,,,,,,,,,
o_7seg3[1],Output,PIN_W21,5A,B5A_N0,PIN_W21,3.3-V LVTTL,,,,,,,,,,,,
o_7seg3[0],Output,PIN_W20,5A,B5A_N0,PIN_W20,3.3-V LVTTL,,,,,,,,,,,,
o_7seg4[6],Output,PIN_Y24,5A,B5A_N0,PIN_Y24,3.3-V LVTTL,,,,,,,,,,,,
o_7seg4[5],Output,PIN_Y23,5A,B5A_N0,PIN_Y23,3.3-V LVTTL,,,,,,,,,,,,
o_7seg4[4],Output,PIN_AA23,5A,B5A_N0,PIN_AA23,3.3-V LVTTL,,,,,,,,,,,,
o_7seg4[3],Output,PIN_AA22,5A,B5A_N0,PIN_AA22,3.3-V LVTTL,,,,,,,,,,,,
o_7seg4[2],Output,PIN_AC24,5A,B5A_N0,PIN_AC24,3.3-V LVTTL,,,,,,,,,,,,
o_7seg4[1],Output,PIN_AC23,5A,B5A_N0,PIN_AC23,3.3-V LVTTL,,,,,,,,,,,,
o_7seg4[0],Output,PIN_AC22,5A,B5A_N0,PIN_AC22,3.3-V LVTTL,,,,,,,,,,,,
o_BCLK,Output,PIN_E6,8A,B8A_N0,PIN_E6,2.5 V,,,,,,,,,,,,
o_DATA,Output,PIN_H10,8A,B8A_N0,PIN_H10,2.5 V,,,,,,,,,,,,
o_hdmi_clk,Output,PIN_Y25,5B,B5B_N0,PIN_Y25,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[23],Output,PIN_AD25,5B,B5B_N0,PIN_AD25,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[22],Output,PIN_AC25,5B,B5B_N0,PIN_AC25,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[21],Output,PIN_AB25,5B,B5B_N0,PIN_AB25,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[20],Output,PIN_AA24,5B,B5B_N0,PIN_AA24,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[19],Output,PIN_AB26,5B,B5B_N0,PIN_AB26,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[18],Output,PIN_R26,5B,B5B_N0,PIN_R26,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[17],Output,PIN_R24,5B,B5B_N0,PIN_R24,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[16],Output,PIN_P21,5B,B5B_N0,PIN_P21,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[15],Output,PIN_P26,5B,B5B_N0,PIN_P26,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[14],Output,PIN_N25,5B,B5B_N0,PIN_N25,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[13],Output,PIN_P23,5B,B5B_N0,PIN_P23,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[12],Output,PIN_P22,5B,B5B_N0,PIN_P22,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[11],Output,PIN_R25,5B,B5B_N0,PIN_R25,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[10],Output,PIN_R23,5B,B5B_N0,PIN_R23,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[9],Output,PIN_T26,5B,B5B_N0,PIN_T26,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[8],Output,PIN_T24,5B,B5B_N0,PIN_T24,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[7],Output,PIN_T23,5B,B5B_N0,PIN_T23,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[6],Output,PIN_U24,5B,B5B_N0,PIN_U24,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[5],Output,PIN_V25,5B,B5B_N0,PIN_V25,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[4],Output,PIN_V24,5B,B5B_N0,PIN_V24,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[3],Output,PIN_W26,5B,B5B_N0,PIN_W26,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[2],Output,PIN_W25,5B,B5B_N0,PIN_W25,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[1],Output,PIN_AA26,5B,B5B_N0,PIN_AA26,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_data_bus[0],Output,PIN_V23,5B,B5B_N0,PIN_V23,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_DE,Output,PIN_Y26,5B,B5B_N0,PIN_Y26,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_HS,Output,PIN_U26,5B,B5B_N0,PIN_U26,3.3-V LVTTL,,,,,,,,,,,,
o_hdmi_VS,Output,PIN_U25,5B,B5B_N0,PIN_U25,3.3-V LVTTL,,,,,,,,,,,,
o_LRCLK,Output,PIN_G10,8A,B8A_N0,PIN_G10,2.5 V,,,,,,,,,,,,
o_MCLK,Output,PIN_D6,8A,B8A_N0,PIN_D6,2.5 V,,,,,,,,,,,,
